ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Listing Creation Date,,
"B08FGZFW4Y","($) Naturally Daizy","($) Unisex Neck Gaiter, Washable Headscarf, Outdoor Activities, Dust, Sun Protection, Lightweight Windproof, Breathable","($) Clothing, Shoes & Jewelry","($) Naturally Daizy","1","FBA","10.99","4.00","20","219.80","403,975","0","0","0","5.5x9.9x0.6","0.11","Small Standard-Size","4","08/09/2020",,
"B07HMKK2PP","($) Naviskin","($) Naviskin Women's Fleece Lined Thermal Tights Running Yoga Leggings Winter Outdoor Pants Zip Pocket","($) Sports & Outdoors","($) Naviskin","1","FBA","25.99","8.00","305","7,926.95","10,287","4","224","7","9.1x11.0x1.6","0.64","Large Standard-Size","6","09/25/2018",,
"B07PCPYWMV","Visit Amazon's David Baldacci Page","A Minute to Midnight (An Atlee Pine Thriller Book 2)","Kindle Store","N/A","n/a","N/A","14.99","0.00",,,"1,454","4.5","4,429","0","n/a","n/a","n/a",,"n/a",,
"B06XYT9CXZ","Gail Honeyman","Eleanor Oliphant Is Completely Fine: A Novel","Unknown","N/A","1","N/A","23.95","0.00",,,"261","4.5","23,665","3315","n/a","n/a","n/a","1","n/a",,
"B07WQHHQGM","Visit Amazon's Nora Roberts Page","Hideaway: A Novel","Kindle Store","N/A","n/a","N/A","14.99","0.00",,,"847","4.5","4,408","0","n/a","n/a","n/a",,"n/a",,
"B01GZ60V8I","Visit Amazon's Jack Arbor Page","The Russian Assassin: A Max Austin Thriller, Book #1","Kindle Store","N/A","1","N/A","4.99","0.00",,,"5,504","4.5","1,779","0","n/a","n/a","n/a","1","n/a",,
"0143127551","Visit Amazon's Celeste Ng Page","Everything I Never Told You","Books","Amazon","36","AMZ","7.25","5.52","2,075","15,043.75","643","4.5","10,073","357","5.0x7.7x0.6","0.5","Small Standard-Size","3","n/a",,
"1501173219","Visit Amazon's Anthony Doerr Page","All the Light We Cannot See: A Novel","Books","Amazon","38","AMZ","10.05","8.21","2,542","25,547.10","476","4.5","36,509","997","5.2x8.0x1.3","0.88","Large Standard-Size","3","n/a",,
"B07RC2W7Q8","Mellanni","Mellanni Bed Sheet Set - Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - 4 Piece (Queen, Laced Sky Blue)","Home & Kitchen","Mellanni","1","FBA","35.97","11.20","50,444","1,814,470.68","4","4.5","115,810","-10853","10.5x11.0x3.6","3.21","Large Standard-Size","4","n/a",,
"B01NCZ71PV","Flybar","Flybar My First Foam Pogo Jumper for Kids Fun and Safe Pogo Stick for Toddlers, Durable Foam and Bungee Jumper for Ages 3 and up, Supports up to 250lbs (Orange)","Toys & Games","N/A","4","FBA","16.99","7.45","29,697","504,552.03","35","4.5","11,185","2148","5.7x10.6x5.0","1","Large Standard-Size","6","n/a",,
